"","estimate","deriv","side","time"
"1",-0.281533911728008,1,"left",1
"2",-0.00107428550552727,2,"left",1
"3",-0.00000166538893403609,3,"left",1
"4",-0.00000000111085229267882,4,"left",1
"5",-0.000000000000269927471316886,5,"left",1
"6",-0.589878925791229,1,"left",2
"7",-0.00263091577832406,2,"left",2
"8",-0.00000440518348959395,3,"left",2
"9",-0.00000000306075975375163,4,"left",2
"10",-0.00000000000075489544260025,5,"left",2
"11",-0.130659135425062,1,"right",1
"12",-0.0000639041370333719,2,"right",1
"13",0.000000378352133750404,3,"right",1
"14",-0.000000000282178914025592,4,"right",1
"15",0.0000000000000603105013824885,5,"right",1
"16",0.680228554303374,1,"right",2
"17",-0.00212823482139215,2,"right",2
"18",0.0000027151102102016,3,"right",2
"19",-0.00000000149843184222259,4,"right",2
"20",0.000000000000295815211957693,5,"right",2
